Clav_HotelEAN,HotelEan,Latitude,Longitude
44,364362,40.67815000000000000000000,-73.88420000000000000000000
45,143349,39.72992000000000000000000,-105.12965000000000000000000
46,203549,34.13543000000000000000000,-116.09542000000000000000000
47,110159,40.37871000000000000000000,-74.58368000000000000000000
48,118649,46.85955000000000000000000,-96.83801000000000000000000
49,195391,41.47392000000000000000000,-81.89945000000000000000000
50,231132,47.92192000000000000000000,-122.28988000000000000000000
51,151212,39.66818000000000000000000,-75.67414000000000000000000
52,410015,37.74621000000000000000000,-88.96852000000000000000000
53,114335,37.78733000000000000000000,-122.40902000000000000000000
54,194255,40.02591000000000000000000,-83.02654000000000000000000
55,209097,33.41522000000000000000000,-111.79520000000000000000000
56,332703,43.39917000000000000000000,-80.37731000000000000000000
57,127173,42.94902000000000000000000,-78.69399000000000000000000
58,201282,42.07757000000000000000000,-94.87866000000000000000000
59,270874,30.24171000000000000000000,-92.06621000000000000000000
60,115214,32.45027000000000000000000,-93.86218000000000000000000
61,198033,40.81324000000000000000000,-74.24380000000000000000000
62,133362,34.85776000000000000000000,-82.26993000000000000000000
63,262954,41.92593000000000000000000,-72.67018000000000000000000
64,213482,43.39467000000000000000000,-73.72757000000000000000000
65,251447,44.28560000000000000000000,-71.74323000000000000000000
66,125742,49.28785000000000000000000,-123.12961000000000000000000
67,164448,45.11266000000000000000000,-92.53739000000000000000000
68,270333,42.07139000000000000000000,-80.10484000000000000000000
69,196170,44.64439000000000000000000,-123.05658000000000000000000
70,273582,35.66083000000000000000000,-101.40605000000000000000000
71,263990,28.34830000000000000000000,-81.66016000000000000000000
72,105822,35.71072000000000000000000,139.72263000000000000000000
73,322516,39.30587000000000000000000,-123.79818000000000000000000
74,242055,39.64617000000000000000000,-84.22445000000000000000000
75,234776,40.96531000000000000000000,-74.22602000000000000000000
76,205026,34.19545000000000000000000,-84.13348000000000000000000
77,222599,32.86635000000000000000000,-80.01480000000000000000000
78,250986,40.26330000000000000000000,-75.13196000000000000000000
79,327396,33.96249000000000000000000,-80.43024000000000000000000
80,163169,39.19804000000000000000000,-76.68363000000000000000000
81,242330,37.49002000000000000000000,-122.23937000000000000000000
82,108221,29.55804000000000000000000,-98.32622000000000000000000
83,341127,29.77576000000000000000000,-95.81313000000000000000000
84,213041,12.54179000000000000000000,-70.06104000000000000000000
85,117020,40.77515000000000000000000,-73.96343000000000000000000
86,108862,42.05118000000000000000000,-87.74679000000000000000000
87,125676,26.30568000000000000000000,-80.07752000000000000000000
88,108530,29.98523000000000000000000,-91.85718000000000000000000
89,136631,28.04169000000000000000000,-81.96163000000000000000000
90,137842,39.89832000000000000000000,-80.14251000000000000000000
91,273516,33.54002000000000000000000,-84.57816000000000000000000
92,206898,45.24360000000000000000000,-111.25089000000000000000000
93,131819,32.82953000000000000000000,-84.84325000000000000000000
94,220727,34.60692000000000000000000,-98.37949000000000000000000
95,106515,47.62841000000000000000000,-117.53669000000000000000000
