userType|date|users|sessions|bounceRate|avgSessionDuration|goalConversionRateAll|pageviews
New Visitor|20150224|1253|1253|1.596169193934557|1020.7206703910615|1.596169193934557|16347
Returning Visitor|20150224|1710|1790|3.35195530726257|1014.5849162011173|3.35195530726257|25177
New Visitor|20150225|1313|1313|1.5232292460015233|881.4889565879665|1.5232292460015233|16804
Returning Visitor|20150225|1770|1869|0.0|1001.8550026752274|1.070090957731407|26708
New Visitor|20150226|1134|1134|0.0|951.4470899470899|1.763668430335097|17441
Returning Visitor|20150226|1909|2088|6.657088122605365|971.9128352490421|0.0|29094
New Visitor|20150227|1054|1054|1.8975332068311195|944.6821631878557|0.0|14836
Returning Visitor|20150227|1472|1551|2.5789813023855577|1148.8214055448097|2.5789813023855577|23168
New Visitor|20150228|756|756|0.0|848.4272486772487|7.936507936507936|10421
Returning Visitor|20150228|974|1034|5.802707930367505|1041.752417794971|1.9342359767891684|16506
New Visitor|20150301|1074|1074|0.0|1093.6843575418995|1.86219739292365|16009
Returning Visitor|20150301|1153|1173|0.0|1161.0502983802216|1.7050298380221656|22512
New Visitor|20150302|1193|1193|0.0|1008.4786253143336|0.0|16765
Returning Visitor|20150302|1869|2048|6.787109375|1105.12841796875|1.953125|33390
New Visitor|20150303|1253|1253|0.0|1122.8691141260974|0.0|19310
Returning Visitor|20150303|1730|1869|1.070090957731407|1023.4975922953452|0.0|24580
New Visitor|20150304|1332|1332|0.0|901.686936936937|0.0|20106
Returning Visitor|20150304|1949|2088|2.8735632183908044|1119.9406130268198|2.8735632183908044|33549
New Visitor|20150305|1014|1014|0.0|1135.1785009861933|1.9723865877712032|16088
Returning Visitor|20150305|1670|1710|3.508771929824561|1085.229239766082|4.678362573099415|26410
New Visitor|20150306|1014|1014|0.0|1017.2495069033531|1.9723865877712032|14676
Returning Visitor|20150306|1332|1452|8.195592286501377|1076.2596418732783|0.0|24660
New Visitor|20150307|855|855|0.0|1130.0152046783626|2.3391812865497075|12847
Returning Visitor|20150307|795|915|2.185792349726776|1012.7300546448088|0.0|15034
New Visitor|20150308|815|815|2.4539877300613497|1344.6687116564417|0.0|13344
Returning Visitor|20150308|1014|1094|7.312614259597806|970.1115173674589|1.8281535648994516|13463
New Visitor|20150309|1193|1193|0.0|1119.831517183571|0.0|17461
Returning Visitor|20150309|1472|1571|0.0|1140.2724379376193|0.0|23009
New Visitor|20150310|1114|1114|0.0|896.2648114901257|3.5906642728904847|13523
Returning Visitor|20150310|1690|1969|4.062976130015236|960.518029456577|1.015744032503809|30049
New Visitor|20150311|1034|1034|0.0|1019.6537717601548|3.8684719535783367|13404
Returning Visitor|20150311|1531|1611|3.7243947858473|1023.3643699565487|2.4829298572315333|20921
New Visitor|20150312|1134|1134|0.0|1094.4082892416225|3.527336860670194|20503
Returning Visitor|20150312|1472|1571|0.0|1205.5537873965627|0.0|26211
New Visitor|20150313|835|835|2.3952095808383236|905.9832335329342|2.3952095808383236|11415
Returning Visitor|20150313|1651|1730|4.624277456647398|931.635838150289|3.4682080924855487|23586
New Visitor|20150314|756|756|0.0|1199.366402116402|5.291005291005291|13642
Returning Visitor|20150314|1134|1213|1.6488046166529264|1193.5721352019787|6.595218466611706|20006
New Visitor|20150315|756|756|0.0|1251.9510582010582|5.291005291005291|10043
Returning Visitor|20150315|855|994|6.036217303822937|1216.059356136821|2.0120724346076457|15671
New Visitor|20150316|1054|1034|0.0|988.8036750483559|1.9342359767891684|13384
Returning Visitor|20150316|915|1014|7.889546351084813|1172.344181459566|1.9723865877712032|15034
New Visitor|20150317|1094|1094|0.0|1048.0776965265081|0.0|18256
Returning Visitor|20150317|1472|1591|2.51414204902577|1036.9912005028284|1.257071024512885|22114
New Visitor|20150318|835|835|0.0|792.9976047904191|0.0|11415
Returning Visitor|20150318|1591|1670|3.592814371257485|813.622754491018|3.592814371257485|19429
New Visitor|20150319|1094|1094|0.0|875.3491773308958|0.0|13304
Returning Visitor|20150319|1432|1571|5.092297899427116|947.0369191597708|0.0|18216
New Visitor|20150320|656|656|0.0|846.0091463414634|0.0|8909
Returning Visitor|20150320|1273|1313|0.0|1111.907083015994|0.0|21279
New Visitor|20150321|457|457|0.0|1308.964989059081|0.0|8273
Returning Visitor|20150321|795|835|9.580838323353294|873.8778443113772|0.0|15512
New Visitor|20150322|616|616|3.2467532467532463|1067.142857142857|0.0|10262
Returning Visitor|20150322|875|955|2.094240837696335|1606.1287958115183|4.18848167539267|19191
New Visitor|20150323|935|935|0.0|839.6288770053476|2.13903743315508|11872
Returning Visitor|20150323|1710|1889|1.0587612493382743|1100.0725251455797|1.0587612493382743|31004
New Visitor|20150324|1034|1034|0.0|1199.28916827853|3.8684719535783367|18594
Returning Visitor|20150324|1591|1651|1.2113870381586918|1128.7928528164748|3.6341611144760746|26827
New Visitor|20150325|855|855|0.0|991.6678362573099|2.3391812865497075|11654
Returning Visitor|20150325|955|955|0.0|1132.8848167539268|0.0|16228
New Visitor|20150326|895|895|0.0|1308.7106145251396|2.2346368715083798|15213
Returning Visitor|20150326|1352|1432|1.3966480446927374|1221.5279329608938|4.189944134078212|23009
New Visitor|20150327|597|597|0.0|1044.175879396985|0.0|8034
Returning Visitor|20150327|1193|1213|1.6488046166529264|1106.5647155812037|0.0|19290
New Visitor|20150328|716|716|0.0|1272.1480446927374|0.0|14676
Returning Visitor|20150328|994|1014|3.9447731755424065|1032.4497041420118|3.9447731755424065|16228
New Visitor|20150329|696|696|0.0|1177.5531609195402|0.0|10063
Returning Visitor|20150329|815|955|2.094240837696335|1414.4659685863874|4.18848167539267|19131
New Visitor|20150330|1114|1114|0.0|931.915619389587|1.7953321364452424|15472
Returning Visitor|20150330|1531|1670|8.323353293413174|961.7257485029941|2.3952095808383236|23128
New Visitor|20150331|915|915|0.0|1220.4229508196722|2.185792349726776|16148
Returning Visitor|20150331|1670|1750|5.6571428571428575|879.8965714285714|1.1428571428571428|26887
New Visitor|20150401|1611|1611|0.0|793.844816883923|3.7243947858473|22552
Returning Visitor|20150401|1631|1790|2.2346368715083798|1462.472625698324|8.88268156424581|36313
New Visitor|20150402|974|974|4.1067761806981515|728.8305954825462|0.0|11475
Returning Visitor|20150402|935|1014|0.0|1332.9684418145957|5.9171597633136095|16327
New Visitor|20150403|696|696|0.0|897.7658045977012|2.8735632183908044|9904
Returning Visitor|20150403|557|597|0.0|831.5829145728643|0.0|5608
New Visitor|20150404|477|477|0.0|816.7777777777778|8.385744234800839|6026
Returning Visitor|20150404|497|517|0.0|1254.3713733075435|3.8684719535783367|8372
New Visitor|20150405|537|537|0.0|818.6945996275605|0.0|5290
Returning Visitor|20150405|656|656|3.048780487804878|1248.4756097560976|3.048780487804878|10799
New Visitor|20150406|974|974|0.0|862.7505133470225|0.0|10799
Returning Visitor|20150406|1114|1213|3.297609233305853|898.7452596867271|1.6488046166529264|14696
New Visitor|20150407|616|616|0.0|1369.189935064935|3.2467532467532463|12131
Returning Visitor|20150407|1253|1352|4.437869822485207|1244.9289940828403|1.4792899408284024|21080
New Visitor|20150408|597|597|3.350083752093802|967.3266331658291|3.350083752093802|8313
Returning Visitor|20150408|895|935|0.0|1800.2812834224599|2.13903743315508|17103
New Visitor|20150409|477|477|0.0|1231.901467505241|0.0|8034
Returning Visitor|20150409|855|955|6.282722513089005|1258.4942408376962|4.18848167539267|12767
New Visitor|20150410|418|418|0.0|1007.6172248803828|0.0|5668
Returning Visitor|20150410|676|716|2.793296089385475|1274.008379888268|0.0|11614
New Visitor|20150411|119|119|0.0|583.4033613445379|0.0|616
Returning Visitor|20150411|457|477|4.1928721174004195|1567.3920335429768|0.0|9804
New Visitor|20150412|497|497|0.0|805.8772635814889|4.0241448692152915|5031
Returning Visitor|20150412|438|438|0.0|1137.9543378995434|0.0|7557
New Visitor|20150413|636|636|0.0|1076.0786163522012|3.1446540880503147|8889
Returning Visitor|20150413|855|1034|3.8684719535783367|1020.1914893617021|0.0|14239
New Visitor|20150414|656|656|0.0|872.5060975609756|0.0|9128
Returning Visitor|20150414|815|835|4.790419161676647|1049.882634730539|0.0|11733
New Visitor|20150415|835|835|0.0|848.1089820359282|0.0|9784
Returning Visitor|20150415|1054|1094|0.0|1322.7851919561242|5.484460694698354|17898
New Visitor|20150416|616|616|0.0|1270.1753246753246|3.2467532467532463|8134
Returning Visitor|20150416|1014|1094|1.8281535648994516|1200.8464351005484|3.656307129798903|17858
New Visitor|20150417|597|597|0.0|1045.0418760469013|3.350083752093802|7835
Returning Visitor|20150417|716|756|2.6455026455026456|1232.5899470899471|0.0|10500
New Visitor|20150418|398|398|0.0|777.4849246231156|0.0|4554
Returning Visitor|20150418|318|318|0.0|1013.7295597484276|0.0|3977
New Visitor|20150419|477|477|4.1928721174004195|1125.1299790356395|0.0|6901
Returning Visitor|20150419|577|616|3.2467532467532463|1197.0860389610389|3.2467532467532463|7458
